投放渠道,总线索,成交线索,下单线索,支付线索
direct_traffic,499,220,195,195
display,118,11,7,7
email,493,31,22,22
organic_search,2296,1390,1232,1232
other,150,91,89,89
other_publicities,65,3,0,0
paid_search,1586,1402,1308,1308
referral,284,84,69,69
social,1350,438,394,394
unknown,1159,1407,1299,1299
