投放渠道,总线索,成交用户数,总营收,订单量,平均客单价
direct_traffic,499,195,29204.97,193,151.32108808290155
display,118,7,1207.95,7,172.56428571428572
email,493,22,9122.41,22,414.655
organic_search,2296,1232,258211.06,1208,213.7508774834437
other,150,89,8766.63,89,98.5014606741573
other_publicities,65,0,0.0,0,
paid_search,1586,1308,204370.18,1247,163.8894787489976
referral,284,69,19748.24,69,286.2063768115942
social,1350,394,52759.29,392,134.59002551020407
unknown,1159,1299,248458.26,1291,192.45411309062743
