年月,下单用户数,订单总量,月度总营收
2018-01,3,3,900.73
2018-02,73,73,13030.57
2018-03,227,227,60191.23
2018-04,477,477,98425.68
2018-05,858,858,141852.02
2018-06,823,823,133980.03
2018-07,960,960,165954.45
2018-08,1091,1091,180268.33
